personId,date,exercise_activeDuration_in_ms,exercise_steps,exercise_calories,exercise_elevationGain,exercise_averageHeartRate,sleep_duration_in_ms,sleep_minutesAsleep,sleep_minutesAwake,sleep_efficiency
p04,2019-11-08,2925000,4081.0,336,407.82,139.0,27540000,401,58,95.0
p04,2019-11-11,3218000,3824.0,321,62.18,131.0,36240000,523,81,95.0
p04,2019-11-12,3416000,7388.0,410,160.02,134.67,33300000,442,113,95.0
p04,2019-11-13,2427000,6075.0,324,259.99,147.0,34680000,494,76,97.5
p04,2019-11-14,2034000,470.0,104,3.35,102.0,30660000,423,88,92.0
p04,2019-11-15,3174000,4682.0,268,100.58,103.5,32880000,470,78,91.0
p04,2019-11-17,4658000,9017.0,546,131.49,150.0,23460000,353,38,94.0
p04,2019-11-18,2049000,5286.0,275,87.17,148.0,30060000,441,60,94.0
p04,2019-11-19,1348000,3607.0,232,205.13,178.0,29580000,415,78,91.0
p04,2019-11-20,2353000,2202.0,206,32.61,124.0,28440000,409,65,93.0
p04,2019-11-21,1024000,1687.0,106,70.1,116.0,33420000,497,60,96.0
p04,2019-11-22,931000,2223.0,107,11.58,137.0,28020000,402,65,91.0
p04,2019-11-23,2624000,1625.0,176,5.49,115.0,38640000,559,85,93.5
p04,2019-11-24,7066000,10071.0,595,97.54,117.0,27600000,393,67,88.0
p04,2019-11-25,2975000,7352.0,359,72.54,135.0,30960000,457,59,92.0
p04,2019-11-26,4799000,6427.0,438,111.86,116.5,30720000,430,82,94.0
p04,2019-11-28,2135000,5631.0,314,83.21,158.0,67440000,956,168,97.0
p04,2019-11-29,1025000,1095.0,67,12.19,104.0,27480000,392,66,94.0
p04,2019-11-30,2912000,2023.0,256,21.95,122.0,37740000,550,79,94.0
p04,2019-12-01,1024000,1513.0,105,76.2,118.0,32340000,497,42,97.0
p04,2019-12-02,2527000,5724.0,341,266.4,153.0,27300000,380,75,89.0
p04,2019-12-03,5686000,7611.0,484,428.96,115.33,27900000,396,69,92.0
p04,2019-12-05,2489000,2429.0,204,2.74,121.0,28620000,413,64,92.0
p04,2019-12-09,3051000,4534.0,372,839.42,148.0,35640000,507,87,92.0
p04,2019-12-10,2279000,5564.0,346,243.23,161.0,34620000,484,93,91.0
p04,2019-12-11,2868000,1546.0,219,91.74,120.0,30480000,431,77,92.0
p04,2019-12-14,7240000,9664.0,678,547.42,120.5,36300000,537,68,91.0
p04,2019-12-15,973000,1652.0,96,0.0,129.0,34680000,486,92,88.0
p04,2019-12-16,4487000,11313.0,588,72.24,148.0,37380000,534,89,92.5
p04,2019-12-17,2777000,6031.0,345,227.99,142.0,33600000,473,87,91.0
p04,2019-12-19,3072000,4783.0,259,109.73,105.5,27240000,394,60,93.0
p04,2019-12-20,488000,1053.0,50,1.52,137.0,33120000,482,70,94.5
